labels,source,path
male_fear,CREMA,/Users/naokitakatani/Documents/datasets/CREMA-D/1050_IEO_FEA_LO.wav
female_neutral,RAVDESS,/Users/naokitakatani/Documents/datasets/RAVDESS/Actor_16/03-01-02-02-02-02-16.wav
male_happy,CREMA,/Users/naokitakatani/Documents/datasets/CREMA-D/1005_IOM_HAP_XX.wav
female_fear,CREMA,/Users/naokitakatani/Documents/datasets/CREMA-D/1052_TIE_FEA_XX.wav
male_fear,CREMA,/Users/naokitakatani/Documents/datasets/CREMA-D/1041_TIE_FEA_XX.wav
male_sad,CREMA,/Users/naokitakatani/Documents/datasets/CREMA-D/1017_TIE_SAD_XX.wav
male_happy,CREMA,/Users/naokitakatani/Documents/datasets/CREMA-D/1038_IEO_HAP_HI.wav
female_sad,CREMA,/Users/naokitakatani/Documents/datasets/CREMA-D/1082_ITH_SAD_XX.wav
female_sad,TESS,/Users/naokitakatani/Documents/datasets/TESS/YAF_sad/YAF_kick_sad.wav
male_surprise,RAVDESS,/Users/naokitakatani/Documents/datasets/RAVDESS/Actor_15/03-01-08-01-02-02-15.wav
female_disgust,CREMA,/Users/naokitakatani/Documents/datasets/CREMA-D/1002_IOM_DIS_XX.wav
male_fear,CREMA,/Users/naokitakatani/Documents/datasets/CREMA-D/1067_TSI_FEA_XX.wav
female_happy,RAVDESS,/Users/naokitakatani/Documents/datasets/RAVDESS/Actor_20/03-01-03-02-02-02-20.wav
male_sad,CREMA,/Users/naokitakatani/Documents/datasets/CREMA-D/1042_IOM_SAD_XX.wav
male_neutral,CREMA,/Users/naokitakatani/Documents/datasets/CREMA-D/1019_ITS_NEU_XX.wav
male_fear,SAVEE,/Users/naokitakatani/Documents/datasets/SAVEE/JK_f12.wav
female_fear,CREMA,/Users/naokitakatani/Documents/datasets/CREMA-D/1021_ITS_FEA_XX.wav
female_disgust,CREMA,/Users/naokitakatani/Documents/datasets/CREMA-D/1046_IOM_DIS_XX.wav
female_neutral,CREMA,/Users/naokitakatani/Documents/datasets/CREMA-D/1073_DFA_NEU_XX.wav
female_angry,TESS,/Users/naokitakatani/Documents/datasets/TESS/OAF_angry/OAF_home_angry.wav
female_sad,TESS,/Users/naokitakatani/Documents/datasets/TESS/YAF_sad/YAF_love_sad.wav
male_disgust,CREMA,/Users/naokitakatani/Documents/datasets/CREMA-D/1064_IWL_DIS_XX.wav
female_fear,CREMA,/Users/naokitakatani/Documents/datasets/CREMA-D/1006_IEO_FEA_MD.wav
male_disgust,CREMA,/Users/naokitakatani/Documents/datasets/CREMA-D/1015_ITH_DIS_XX.wav
male_fear,RAVDESS,/Users/naokitakatani/Documents/datasets/RAVDESS/Actor_11/03-01-06-01-01-02-11.wav
male_happy,CREMA,/Users/naokitakatani/Documents/datasets/CREMA-D/1011_TSI_HAP_XX.wav
male_sad,SAVEE,/Users/naokitakatani/Documents/datasets/SAVEE/DC_sa07.wav
female_sad,TESS,/Users/naokitakatani/Documents/datasets/TESS/OAF_Sad/OAF_shirt_sad.wav
female_disgust,CREMA,/Users/naokitakatani/Documents/datasets/CREMA-D/1024_ITH_DIS_XX.wav
female_disgust,CREMA,/Users/naokitakatani/Documents/datasets/CREMA-D/1008_TSI_DIS_XX.wav
male_disgust,CREMA,/Users/naokitakatani/Documents/datasets/CREMA-D/1034_MTI_DIS_XX.wav
female_happy,CREMA,/Users/naokitakatani/Documents/datasets/CREMA-D/1018_IEO_HAP_LO.wav
male_happy,RAVDESS,/Users/naokitakatani/Documents/datasets/RAVDESS/Actor_21/03-01-03-02-01-01-21.wav
female_sad,CREMA,/Users/naokitakatani/Documents/datasets/CREMA-D/1084_IEO_SAD_LO.wav
female_neutral,RAVDESS,/Users/naokitakatani/Documents/datasets/RAVDESS/Actor_08/03-01-01-01-02-02-08.wav
female_sad,TESS,/Users/naokitakatani/Documents/datasets/TESS/YAF_sad/YAF_cool_sad.wav
female_neutral,CREMA,/Users/naokitakatani/Documents/datasets/CREMA-D/1074_IOM_NEU_XX.wav
female_surprise,TESS,/Users/naokitakatani/Documents/datasets/TESS/YAF_pleasant_surprised/YAF_pain_ps.wav
female_disgust,TESS,/Users/naokitakatani/Documents/datasets/TESS/OAF_disgust/OAF_pass_disgust.wav
